Claim_ID,Category,Claim_Statement,Manuscript_Location,Implementation_File,Statistical_Method,Quantitative_Result,Status
TH-01,Theory,Continuous Gaussian Effective Information closed form,Section 2.1 Eq. 1,src/dce/effective_info.py,Closed-form differential entropy derivation,EI(X) = 0.5*ln det(I + Sigma^{-1} A A^T) >= 0,VERIFIED
TH-02,Theory,Linear coarse-graining and canonical right-inverse lifting,Section 2.3 Eq. 4,src/dce/estimators/linear_gaussian.py,Orthogonal projection kappa_W(dx|v) = delta(x - W v),A_V = W^T A W; Sigma_V = W^T Sigma W,VERIFIED
TH-03,Theory,DPI applies to observational joint measure but not interventional EI,Section 2.3 & 2.5,audit_tests/test_adversarial_scientific.py,Lyapunov stationary covariance vs isotropic interventional drive,I_obs(V) <= I_obs(X) holds; Delta EI^{raw} = +0.13774 > 0 under Fisher projection,VERIFIED
TH-04,Theory,Continuous Causal Information Spectrum decomposition,Section 2.2 Eq. 2-3,src/dce/estimators/linear_gaussian.py,Eigendecomposition of Sigma^{-1/2} A A^T Sigma^{-1/2},EI(X) = 0.5 sum ln(1 + lambda_k); 1 <= DCD^{PR} <= p,VERIFIED
TH-05,Theory,Continuous Causal Effective Rank formulation,Section 2.2 Eq. 3,src/dce/estimators/linear_gaussian.py,Exponential of spectral Shannon entropy,DCD^{ER} in [1; p]; continuous differentiability,VERIFIED
BM-01,Benchmark,DGP-A Static Null recovers full dimensionality,Section 3 Table 1,src/dce/synthetic.py,Monte Carlo estimation (100 runs),DCD^{PR} = 7.98 +/- 0.04 (True: 8); CCG <= 0,VERIFIED
BM-02,Benchmark,DGP-B Nonstationary Null tracks dynamic variance without spurious emergence,Section 3 Table 1,src/dce/synthetic.py,Time-varying isotropic covariance simulation,DCD^{PR} = 7.94 +/- 0.06 (True: 8); 100% null accuracy,VERIFIED
BM-03,Benchmark,DGP-C Abrupt Causal Concentration Transition recovery,Section 3 Table 1 Fig 2b,src/dce/synthetic.py,Piecewise stationary transition simulation,DCD^{PR} = 2.04 +/- 0.08 (True: 2); CCG = +0.482,VERIFIED
BM-04,Benchmark,DGP-D Smooth Emergence process covariance coherence,Section 3 Table 1 & Table 2,src/dce/synthetic.py,Rotating low-rank subspace with coherent covariance,DCD^{PR} = 3.21 +/- 0.15; Sliding Spectrum competitive,VERIFIED
BM-05,Benchmark,DGP-E Multi-Scale Hierarchy recovery,Section 3 Table 1,src/dce/synthetic.py,4-cluster hierarchical modular VAR,DCD^{PR} = 4.08 +/- 0.11 (True: 4); CCG = +0.276,VERIFIED
BM-06,Benchmark,DGP-F Structural Break Null preserves rank,Section 3 Table 1,src/dce/synthetic.py,Abrupt parameter jump with invariant full rank,DCD^{PR} = 7.91 +/- 0.09 (True: 8); 0% false alarms,VERIFIED
BM-07,Benchmark,DGP-G Anisotropic Noise Null separates raw emergence from CCG,Section 3 Table 1,src/dce/synthetic.py,Anisotropic Sigma with isotropic dynamics,Delta EI^{raw} <= 0 verified; CCG = +0.081,VERIFIED
BM-08,Benchmark,DGP-H Nonlinear Van der Pol limit cycle recovery,Section 3 Table 2,src/dce/synthetic.py,Coupled nonlinear oscillator integration,DCD identifies 2 dominant limit-cycle degrees of freedom,VERIFIED
BM-09,Benchmark,DGP-I Kuramoto coupled network synchronization,Section 3 Table 2,src/dce/synthetic.py,Phase-coupled differential equation integration,DCD tracks emergent phase synchronization manifold,VERIFIED
BM-10,Benchmark,DGP-J Untouched out-of-sample benchmark generalization,Section 3 Table 1,src/dce/synthetic.py,Independent parameterization hold-out test,DCD recovers q*=3 without hyperparameter tuning,VERIFIED
BM-11,Benchmark,DGP-K Structural Tipping Point calibration,Section 3,src/dce/synthetic.py,Supercritical bifurcation simulation,Calibrates Hansen sup-Wald test sensitivity,VERIFIED
EMP-01,Empirical,Form EIA-930 physical balance accounting integrity,Section 4.1,src/dce/datasets/eia930/client.py,Physical accounting identity audit over 276717 BA-hours,Median relative accounting residuals < 1.8%,VERIFIED
EMP-02,Empirical,H1: Significant continental causal spectral contraction in ERCOT,Section 4.2 Fig 3,scripts/run_hypotheses_testing.py,Multivariate IAAFT surrogates (B=1000 fail-hard),Empirical DCD^{PR} = 4.791 < c_{0.05} = 5.077 (p < 0.001),VERIFIED
EMP-03,Empirical,H1: Significant causal concentration gain in ERCOT,Section 4.2 Fig 3,scripts/run_hypotheses_testing.py,Surrogate 95th percentile comparison (B=1000),Empirical CCG(q=2) = 0.739 > c_{0.95} = 0.681 (p < 0.001),VERIFIED
